test_id,repetition,function,sample_n,sampler,feature,value
608,4,8,100,"Latin Hypercube (rnd)",sss.cov.1,0.00760697255470719
609,4,9,100,"Latin Hypercube (rnd)",sss.mean,0.362762064011735
609,4,9,100,"Latin Hypercube (rnd)",sss.std,0.183333063970425
609,4,9,100,"Latin Hypercube (rnd)",sss.max,0.866943477943447
609,4,9,100,"Latin Hypercube (rnd)",sss.skew,1.84830341431428
609,4,9,100,"Latin Hypercube (rnd)",sss.skew_p,0.0645584620926672
609,4,9,100,"Latin Hypercube (rnd)",sss.weight.0,0.475974048226816
609,4,9,100,"Latin Hypercube (rnd)",sss.weight.1,0.524025951773184
609,4,9,100,"Latin Hypercube (rnd)",sss.mean.0,0.222929197542612
609,4,9,100,"Latin Hypercube (rnd)",sss.mean.1,0.489772597179519
609,4,9,100,"Latin Hypercube (rnd)",sss.cov.0,0.0116211339699533
609,4,9,100,"Latin Hypercube (rnd)",sss.cov.1,0.0196944582698138
610,4,10,100,"Latin Hypercube (rnd)",sss.mean,0.352252149888624
